Country,YearsCode,YearsCodePro,WorkExp,DevType,Age,EdLevel,LanguageHaveWorkedWith,ConvertedCompYearly
France,10.0,2.0,2.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;Rust;TypeScript,38552.0
United Kingdom of Great Britain and Northern Ireland,2.0,1.0,1.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Dart;Python;SQL;TypeScript,37241.0
Spain,7.0,6.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",MATLAB;Python;R;SAS;SQL,58899.0
France,5.0,1.0,3.0,Data scientist or machine learning specialist,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Perl;PHP;Python;SQL,53545.0
Germany,6.0,5.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;Java;JavaScript;TypeScript,73892.0
Spain,9.0,7.0,7.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Java;Lua;Python,51403.0
France,3.0,1.0,,Data scientist or machine learning specialist,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Fortran;MATLAB;Python;SQL;VBA,42836.0
United Kingdom of Great Britain and Northern Ireland,25.0,20.0,20.0,"Engineer, data",35-44 years old,Something else,Bash/Shell (all shells);C;C++;Haskell;HTML/CSS;JavaScript;Lua;Python;Rust;SQL,116690.0
India,4.0,0.5,1.0,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;R;SQL,20599.0
Spain,3.0,2.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;Python;SQL,44978.0
United Kingdom of Great Britain and Northern Ireland,5.0,5.0,10.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,46552.0
Italy,10.0,5.0,6.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python,35340.0
Other,13.0,6.0,6.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,25273.0
United Kingdom of Great Britain and Northern Ireland,11.0,3.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Perl;Python;R;Scala;SQL,150207.0
Finland,8.0,7.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,86743.0
United Kingdom of Great Britain and Northern Ireland,3.0,3.0,3.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;Python;Rust,62069.0
Germany,18.0,12.0,12.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;R;Rust;SQL;TypeScript,113515.0
Germany,15.0,10.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",MATLAB;Python;Visual Basic (.Net),171343.0
United Kingdom of Great Britain and Northern Ireland,4.0,3.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Julia;Python;R;SQL,53379.0
France,10.0,5.0,5.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;Rust;SQL,64254.0
Other,5.0,1.0,8.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;Python;R;SQL,48914.0
Other,27.0,16.0,16.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Clojure;Scala;SQL,84112.0
United Kingdom of Great Britain and Northern Ireland,12.0,10.0,,"Engineer, data",35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);HTML/CSS;Python,80690.0
United Kingdom of Great Britain and Northern Ireland,15.0,10.0,,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C++;MATLAB;Python,94221.0
France,10.0,5.0,4.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;Java;JavaScript;Python;SQL,72821.0
United Kingdom of Great Britain and Northern Ireland,7.0,6.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,94345.0
Other,12.0,7.0,7.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,72490.0
Australia,12.0,5.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,109071.0
Belgium,20.0,17.0,,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;Swift,64254.0
Poland,6.0,2.0,3.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);PHP;Python;SQL,35889.0
Poland,5.0,1.0,,Data or business analyst,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,11963.0
Canada,10.0,5.0,4.0,Scientist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;Fortran;Python,66173.0
Switzerland,8.0,5.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;Elixir;HTML/CSS;JavaScript;Python;TypeScript,275541.0
France,9.0,5.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,71750.0
Other,7.0,0.5,1.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Haskell;Python;R;Scala,7228.0
India,7.0,1.0,1.0,"Engineer, data",18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;Scala;SQL,9694.0
Germany,8.0,6.0,7.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,88884.0
Other,5.0,4.0,4.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,2500.0
United Kingdom of Great Britain and Northern Ireland,5.0,3.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Python;SQL,74483.0
United Kingdom of Great Britain and Northern Ireland,13.0,6.0,9.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Dart;Python,86897.0
Germany,15.0,5.0,,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Dart;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,74963.0
Brazil,32.0,27.0,32.0,Data scientist or machine learning specialist,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;JavaScript;Python,42604.0
United States of America,10.0,3.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;Python;SQL;TypeScript,143000.0
Other,16.0,11.0,11.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,92420.0
Germany,5.0,4.0,4.0,Scientist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;Python;Rust,56757.0
India,10.0,8.0,8.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R;SQL,29081.0
Germany,20.0,9.0,9.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Python;Rust;SQL,88884.0
Italy,7.0,2.0,2.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Python;Rust;TypeScript,32127.0
Other,9.0,1.0,1.0,"Engineer, data",18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;Python;SQL,90625.0
Other,2.0,0.5,,Data or business analyst,18-24 years old,Some college/university study without earning a degree,HTML/CSS;JavaScript;Python,4610.0
United States of America,30.0,25.0,,Data or business analyst,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;MATLAB,300000.0
United States of America,9.0,5.0,6.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;R;SAS;SQL,46000.0
Other,11.0,7.0,7.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Java;Python;Scala;SQL,46049.0
United States of America,13.0,9.0,22.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Scala;SQL;VBA,120000.0
France,10.0,8.0,8.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Groovy;Java,96381.0
Other,25.0,20.0,21.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;PHP;Python;SQL,37481.0
United Kingdom of Great Britain and Northern Ireland,6.0,1.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,74483.0
United States of America,10.0,3.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python;R;SQL;VBA,99500.0
Other,6.0,8.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R;SQL,25000.0
Israel,8.0,8.0,,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;PowerShell;Python,128294.0
Other,8.0,1.0,,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Python;SQL,15662.0
United States of America,5.0,1.0,2.0,Data scientist or machine learning specialist,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;Ruby;SQL;Swift,110000.0
United States of America,22.0,22.0,,"Engineer, data",45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;R;SQL,232000.0
Brazil,12.0,10.0,15.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,71007.0
United States of America,16.0,13.0,6.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",HTML/CSS;JavaScript;Python;SQL,145000.0
Canada,20.0,16.0,,Data or business analyst,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL,89222.0
Switzerland,38.0,25.0,25.0,Data or business analyst,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python,165324.0
Poland,12.0,10.0,10.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Dart;Python;SQL,71779.0
United Kingdom of Great Britain and Northern Ireland,14.0,4.0,14.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",APL;Bash/Shell (all shells);Lisp;OCaml;Python;R,38483.0
Netherlands,1.0,0.5,,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;R,47119.0
Canada,20.0,10.0,5.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python,148703.0
Germany,7.0,2.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;Python,74963.0
United States of America,36.0,30.0,36.0,"Engineer, data",45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C++;Elixir;Erlang;Fortran;Go;Java;JavaScript;Lisp;Perl;Prolog;Python;R;SQL,160000.0
United States of America,6.0,2.0,2.0,Scientist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Go;Java,140000.0
Other,28.0,21.0,22.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Groovy;HTML/CSS;JavaScript;Python;SQL,80317.0
United States of America,14.0,10.0,14.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;Rust;SQL,165000.0
United States of America,17.0,14.0,15.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python,250000.0
Other,9.0,9.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;Scala,77379.0
Other,11.0,7.0,7.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;Elixir;Zig,140688.0
Other,10.0,10.0,,Data scientist or machine learning specialist,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;PowerShell;R,64254.0
Other,9.0,8.0,8.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,117798.0
Spain,14.0,10.0,10.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,64254.0
Other,6.0,6.0,6.0,Scientist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python;R;SQL;VBA,1088.0
United States of America,39.0,25.0,31.0,Data scientist or machine learning specialist,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C++;Dart;Python,187000.0
Denmark,35.0,20.0,,Data scientist or machine learning specialist,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Assembly;Bash/Shell (all shells);C;C#;C++;Delphi;GDScript;Java;JavaScript;Objective-C;PHP;Python;R;SAS;SQL;Swift;VBA;Visual Basic (.Net),132282.0
United States of America,12.0,8.0,12.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;PowerShell;Python;R;SQL,180000.0
United States of America,4.0,4.0,4.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,90000.0
United States of America,40.0,34.0,,"Engineer, data",55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;Python;Scala;SQL,200000.0
United States of America,6.0,2.0,15.0,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;VBA,120000.0
United States of America,40.0,34.0,34.0,Scientist,55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C;C++;Python;SQL,160000.0
Other,7.0,6.0,7.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;Python;R;SQL,1009.0
United States of America,10.0,12.0,,Data scientist or machine learning specialist,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Elixir;Erlang;Ruby;Rust;Zig,250000.0
United States of America,6.0,6.0,12.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;JavaScript;OCaml;PowerShell;Python;Scala;SQL,140000.0
Other,20.0,15.0,20.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",SQL,86630.0
United Kingdom of Great Britain and Northern Ireland,9.0,7.0,7.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,248276.0
France,6.0,2.0,9.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,38552.0
United States of America,4.0,1.0,,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;PowerShell;Python;SQL,60000.0
United States of America,2.0,0.5,6.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;Python;TypeScript,64000.0
United States of America,34.0,33.0,34.0,Scientist,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Groovy;Perl;Python;R;Ruby;SQL,176000.0
Belgium,37.0,35.0,38.0,"Engineer, data",55-64 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",VBA,107090.0
Other,18.0,6.0,6.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;Rust;Scala;TypeScript,203470.0
Germany,12.0,12.0,12.0,Data scientist or machine learning specialist,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);R,112444.0
France,10.0,7.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,96381.0
Netherlands,7.0,5.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,80317.0
United States of America,38.0,27.0,27.0,Data or business analyst,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;SQL,120000.0
Other,9.0,5.0,6.0,Scientist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Java;Python;SQL,195974.0
United States of America,25.0,21.0,,Data or business analyst,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Apex;C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;SQL;VBA;Visual Basic (.Net),150000.0
Spain,24.0,15.0,17.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Python,74963.0
Other,5.0,4.0,4.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL;VBA,15042.0
United States of America,25.0,13.0,,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python;Rust;SQL,180000.0
United States of America,5.0,5.0,5.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Python,96000.0
United States of America,7.0,6.0,6.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C++;Go;HTML/CSS;Java;JavaScript;Python;SQL,252000.0
United States of America,25.0,20.0,23.0,"Engineer, data",45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Apex;Bash/Shell (all shells);Groovy;Java;Perl;PowerShell;Python;SQL,170000.0
United States of America,38.0,29.0,30.0,Data scientist or machine learning specialist,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python,150000.0
United States of America,16.0,16.0,,Data scientist or machine learning specialist,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R;SQL;VBA,132000.0
Other,10.0,4.0,4.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL;VBA,46242.0
Other,5.0,3.0,3.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,39425.0
Australia,12.0,10.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,115682.0
United States of America,41.0,35.0,42.0,Data or business analyst,55-64 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);JavaScript;Perl;SQL,140000.0
Australia,14.0,7.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python;R;SQL,132208.0
Australia,15.0,15.0,20.0,Scientist,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Fortran;Haskell;MATLAB;PowerShell;Python;Rust;SQL,93868.0
United Kingdom of Great Britain and Northern Ireland,4.0,2.0,2.0,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;Rust;SQL,49655.0
United States of America,2.0,0.5,1.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,52000.0
Canada,13.0,5.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C++;Java;Kotlin;Python,63645.0
Australia,8.0,5.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Python;R,112377.0
Other,20.0,8.0,18.0,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Python;SQL,103756.0
Australia,36.0,27.0,,Data scientist or machine learning specialist,45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);C#;C++;Python;Visual Basic (.Net),71392.0
Other,6.0,2.0,8.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",PowerShell;Python;R;SQL,20262.0
Other,8.0,2.0,2.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java;JavaScript;Python,30781.0
Other,5.0,3.0,3.0,"Engineer, data",18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,6520.0
Australia,32.0,10.0,29.0,Data or business analyst,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;Python;R;SAS;SQL;VBA,52883.0
New Zealand,43.0,40.0,,"Engineer, data",55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,84983.0
United States of America,6.0,1.0,3.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;Java;JavaScript;Python;SQL,65000.0
Other,7.0,2.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Go,63691.0
Canada,15.0,10.0,14.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Scala;SQL;TypeScript,148703.0
Other,6.0,4.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;MATLAB;Python;SQL,5251.0
Other,9.0,5.0,5.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;PowerShell;Python;SQL;TypeScript,46171.0
Finland,15.0,9.0,10.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Python,96381.0
Sweden,40.0,35.0,35.0,Data scientist or machine learning specialist,45-54 years old,"Associate degree (A.A., A.S., etc.)",Apex;Java;JavaScript;Python;SQL,11057.0
Belgium,10.0,1.0,,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,34804.0
Australia,10.0,5.0,6.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);JavaScript;Kotlin;Python;Rust;SQL;TypeScript,125597.0
Other,9.0,6.0,6.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,42520.0
Other,8.0,4.0,4.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;Dart;HTML/CSS;Java;JavaScript;Python;Ruby;TypeScript,56285.0
Germany,25.0,15.0,,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C;C++;HTML/CSS;Java;Perl;Python,123153.0
United Kingdom of Great Britain and Northern Ireland,2.0,2.0,13.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;SQL,49655.0
Other,6.0,3.0,10.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;Scala;SQL,42836.0
Spain,3.0,3.0,10.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python;SQL,52474.0
Other,20.0,14.0,15.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;C#;HTML/CSS;Python;R;SAS;Swift,117798.0
Other,11.0,7.0,7.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;Scala;SQL,81888.0
Other,8.0,3.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);JavaScript;Python;SQL,16592.0
Australia,10.0,10.0,,"Engineer, data",45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Haskell;Python;Scala;SQL,99156.0
France,20.0,13.0,13.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Java;Python;Scala;SQL,91026.0
United Kingdom of Great Britain and Northern Ireland,5.0,4.0,4.0,"Engineer, data",25-34 years old,Some college/university study without earning a degree,Java;Scala,111724.0
Denmark,4.0,2.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;C++;Python;SQL;Visual Basic (.Net),64703.0
